ID,SUBID,POS,SP,ARAB_V,ARAB_U,ARAB_T,LEMMA_V,LEMMA_U,LEMMA_T,GEN,NUM,CASE,PER,DEF,RAT,TYPE,TENSE,PROC_V,PROC_U,PROC_T,STEM_V,STEM_U,STEM_T,ENC_V,ENC_U,ENC_T,ROOT,BW,IPA
V0000001,0,V,T,كَتَبَ,كتب,kátaba,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,,,,كَتَبَ,كتب,kátaba,,,,ك-ت-ب,kataba,
V0000002,0,V,T,كَتَبَنِي,كتبني,katábani̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,,,,كَتَبَ,كتب,kátaba,نِي,ني,ni̱,ك-ت-ب,katabaniy,
V0000003,0,V,T,كَتَبَنَا,كتبنا,katábana̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,,,,كَتَبَ,كتب,kátaba,نَا,نا,na̱,ك-ت-ب,katabanaA,
V0000004,0,V,T,كَتَبَكَ,كتبك,katábaka,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,,,,كَتَبَ,كتب,kátaba,كَ,ك,ka,ك-ت-ب,katabaka,
V0000005,0,V,T,كَتَبَكِ,كتبك,katábaki,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,,,,كَتَبَ,كتب,kátaba,كِ,ك,ki,ك-ت-ب,katabaki,
V0000006,0,V,T,كَتَبَكُمْ,كتبكم,katábakum,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,,,,كَتَبَ,كتب,kátaba,كُمْ,كم,kum,ك-ت-ب,katabakumo,
V0000007,0,V,T,كَتَبَكُمَا,كتبكما,katabákuma̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,,,,كَتَبَ,كتب,kátaba,كُمَا,كما,kúma̱,ك-ت-ب,katabakumaA,
V0000008,0,V,T,كَتَبَهَا,كتبها,katábaha̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,,,,كَتَبَ,كتب,kátaba,هَا,ها,ha̱,ك-ت-ب,katabahaA,
V0000009,0,V,T,كَتَبَهُ,كتبه,katábahu,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,,,,كَتَبَ,كتب,kátaba,هُ,ه,hu,ك-ت-ب,katabahu,
V0000010,0,V,T,كَتَبَهُمْ,كتبهم,katábahum,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,,,,كَتَبَ,كتب,kátaba,هُمْ,هم,hum,ك-ت-ب,katabahumo,
V0000011,0,V,T,كَتَبَهُمَا,كتبهما,katabáhuma̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,,,,كَتَبَ,كتب,kátaba,هُمَا,هما,húma̱,ك-ت-ب,katabahumaA,
V0000012,0,V,T,كَتَبَهُنَّ,كتبهن,katabahúnna,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,,,,كَتَبَ,كتب,kátaba,هُنَّ,هن,húnna,ك-ت-ب,katabahun~a,
V0000013,0,V,T,كَتَبَكُنَّ,كتبكن,katabakúnna,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,,,,كَتَبَ,كتب,kátaba,كُنَّ,كن,kúnna,ك-ت-ب,katabakun~a,
V0000014,0,V,T,وَكَتَبَ,وكتب,wakátaba,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,وَ,و,wa,كَتَبَ,كتب,kátaba,,,,ك-ت-ب,wakataba,
V0000015,0,V,T,وَكَتَبَنِي,وكتبني,wakatábani̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,وَ,و,wa,كَتَبَ,كتب,kátaba,نِي,ني,ni̱,ك-ت-ب,wakatabaniy,
V0000016,0,V,T,وَكَتَبَنَا,وكتبنا,wakatábana̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,وَ,و,wa,كَتَبَ,كتب,kátaba,نَا,نا,na̱,ك-ت-ب,wakatabanaA,
V0000017,0,V,T,وَكَتَبَكَ,وكتبك,wakatábaka,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,وَ,و,wa,كَتَبَ,كتب,kátaba,كَ,ك,ka,ك-ت-ب,wakatabaka,
V0000018,0,V,T,وَكَتَبَكِ,وكتبك,wakatábaki,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,وَ,و,wa,كَتَبَ,كتب,kátaba,كِ,ك,ki,ك-ت-ب,wakatabaki,
V0000019,0,V,T,وَكَتَبَكُمْ,وكتبكم,wakatábakum,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,وَ,و,wa,كَتَبَ,كتب,kátaba,كُمْ,كم,kum,ك-ت-ب,wakatabakumo,
V0000020,0,V,T,وَكَتَبَكُمَا,وكتبكما,wakatabákuma̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,وَ,و,wa,كَتَبَ,كتب,kátaba,كُمَا,كما,kúma̱,ك-ت-ب,wakatabakumaA,
V0000021,0,V,T,وَكَتَبَهَا,وكتبها,wakatábaha̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,وَ,و,wa,كَتَبَ,كتب,kátaba,هَا,ها,ha̱,ك-ت-ب,wakatabahaA,
V0000022,0,V,T,وَكَتَبَهُ,وكتبه,wakatábahu,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,وَ,و,wa,كَتَبَ,كتب,kátaba,هُ,ه,hu,ك-ت-ب,wakatabahu,
V0000023,0,V,T,وَكَتَبَهُمْ,وكتبهم,wakatábahum,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,وَ,و,wa,كَتَبَ,كتب,kátaba,هُمْ,هم,hum,ك-ت-ب,wakatabahumo,
V0000024,0,V,T,وَكَتَبَهُمَا,وكتبهما,wakatabáhuma̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,وَ,و,wa,كَتَبَ,كتب,kátaba,هُمَا,هما,húma̱,ك-ت-ب,wakatabahumaA,
V0000025,0,V,T,وَكَتَبَهُنَّ,وكتبهن,wakatabahúnna,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,وَ,و,wa,كَتَبَ,كتب,kátaba,هُنَّ,هن,húnna,ك-ت-ب,wakatabahun~a,
V0000026,0,V,T,وَكَتَبَكُنَّ,وكتبكن,wakatabakúnna,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,وَ,و,wa,كَتَبَ,كتب,kátaba,كُنَّ,كن,kúnna,ك-ت-ب,wakatabakun~a,
V0000027,0,V,T,فَكَتَبَ,فكتب,fakátaba,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,فَ,ف,fa,كَتَبَ,كتب,kátaba,,,,ك-ت-ب,fakataba,
V0000028,0,V,T,فَكَتَبَنِي,فكتبني,fakatábani̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,فَ,ف,fa,كَتَبَ,كتب,kátaba,نِي,ني,ni̱,ك-ت-ب,fakatabaniy,
V0000029,0,V,T,فَكَتَبَنَا,فكتبنا,fakatábana̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,فَ,ف,fa,كَتَبَ,كتب,kátaba,نَا,نا,na̱,ك-ت-ب,fakatabanaA,
V0000030,0,V,T,فَكَتَبَكَ,فكتبك,fakatábaka,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,فَ,ف,fa,كَتَبَ,كتب,kátaba,كَ,ك,ka,ك-ت-ب,fakatabaka,
V0000031,0,V,T,فَكَتَبَكِ,فكتبك,fakatábaki,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,فَ,ف,fa,كَتَبَ,كتب,kátaba,كِ,ك,ki,ك-ت-ب,fakatabaki,
V0000032,0,V,T,فَكَتَبَكُمْ,فكتبكم,fakatábakum,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,فَ,ف,fa,كَتَبَ,كتب,kátaba,كُمْ,كم,kum,ك-ت-ب,fakatabakumo,
V0000033,0,V,T,فَكَتَبَكُمَا,فكتبكما,fakatabákuma̱,كَتَبَ,كتب,kátaba,-,-,-,3SM,-,-,S1,1,فَ,ف,fa,كَتَبَ,كتب,kátaba,كُمَا,كما,kúma̱,ك-ت-ب,fakatabakumaA,
